date;time;channel;ministry;subject;contactReason;outcome;pageTitle;forward;forwardCode
2023-09-04;08:07;Inkomend telefoongesprek;IENW;auto;Vraag;Doorverwezen;Hoe krijg ik als particulier subsidie voor mijn elektrische auto?;;
2023-09-04;08:10;Inkomend telefoongesprek;SZW;-;Vraag;Beantwoord;Uitvoeringsinstituut Werknemersverzekeringen (UWV);;
2023-09-04;08:15;Inkomend telefoongesprek;VWS;campagnes;Vraag;Doorverwezen;Campagne-effectonderzoek HPV-vaccinatie tot 18 jaar;;
2023-09-04;08:19;Inkomend telefoongesprek;VWS;zorg en ondersteuning thuis;Vraag;Beantwoord;Hoe krijg ik ondersteuning van de gemeente vanuit de Wmo?;;
2023-09-04;08:19;Inkomend telefoongesprek;EZK;bouwregelgeving;Vraag;Doorverwezen;Nederlands Normalisatie Instituut (NEN);;
2023-09-04;08:25;Inkomend telefoongesprek;BUZA;vakantie en reizen;Vraag;Beantwoord;Nederlands document legaliseren met een apostille;;
2023-09-04;08:34;Inkomend telefoongesprek;VWS;coronavirus covid-19;Vraag;Beantwoord;Testen op corona;;
2023-09-04;08:40;Inkomend telefoongesprek;OCW;leerplicht;Vraag;Beantwoord;Vrijstelling van leerplicht aanvragen;;
2023-09-04;08:41;Inkomend telefoongesprek;FIN;prinsjesdag belastingplan 2023;Vraag;Beantwoord;Roken wordt duurder;;
2023-09-04;08:46;Inkomend telefoongesprek;OCW;leerlingendaling;Vraag;Doorgestuurd;Sluiten van scholen;het Ministerie van Onderwijs, Cultuur en Wetenschap;OCW
2023-09-04;08:50;Inkomend telefoongesprek;VWS;medicijnen;Vraag;Doorverwezen;Wat heb ik nodig als ik mijn medicijnen meeneem op reis?;;
2023-09-04;08:51;Inkomend telefoongesprek;SZW;immigratie naar nederland;Vraag;Doorverwezen;Moet ik als nieuwkomer inburgeren?;;
2023-09-04;08:53;Inkomend telefoongesprek;IENW;rijbewijs;Vraag;Beantwoord;Puntenrijbewijs en beginnersrijbewijs;;
