pw_session_id;pw_event_id;pw_search_category;pw_search_keyword;pw_search_results_count
6405604439;21609152149;zoeken;Verlof voortgezet onderwijs;180
6405604439;21609160699;zoeken;School;17690
6405608399;21609171331;zoeken;Kerstvakantie 2024 2025;50
6405608415;21609175155;zoeken;Studiebeurs;160
6405608631;21609170599;zoeken;Winschoten;80
6405612797;21609213853;zoeken;Kappers opleiding starten;30
6405614451;21609199049;zoeken;Kerstvakantie;720
6405614451;21609203799;zoeken;Voorjaarsvakantie 2024;70
6405614451;21609205643;zoeken;Paasvakantie 2024;0
6405619837;21609223311;zoeken;Leiden;32020
6405619837;21609229259;zoeken;600;4280
6405622679;21609235685;zoeken;Werken in het onderwijs;14370
6405623267;21609238789;zoeken;1979 vakanties;10
6405623857;21609242151;zoeken;20023;20
6405631775;21609286941;zoeken;Deurne herfstvakantie 2023;0
6405632451;21609289915;zoeken;seksueel;5900
6405632451;21609293547;zoeken;seksueel 16+;1440
6405632451;21609295879;zoeken;straf seksueel gedrag;260
6405634497;21609301313;zoeken;Nivea 2;20
6405634497;21609304629;zoeken;Nivea 2;20
6405646297;21609377267;zoeken;Hoge school in engeland;180
6405648375;21609388833;zoeken;Rekenen;8730
6405662755;21609473987;zoeken;Mikado school;10
6405669173;21609503553;zoeken;Doc Basisinkomen;0
6405669173;21609508289;zoeken;Basis inkomen;5420
6405669173;21609520905;zoeken;Basis inkomen;5420
6405669173;21609526891;zoeken;Bijlage woo verzoek;6670
6405669173;21609530823;zoeken;Bijlage woo verzoek;6670
6405675005;21609551191;zoeken;2025;15460
6405675005;21609553091;zoeken;Vakanties 2026;70
6405675005;21609554387;zoeken;Vakanties 2027;70
6405675005;21609555581;zoeken;Vakanties 2028;60
6405675005;21609556071;zoeken;Vakanties 2027;70
6405675005;21609556081;zoeken;2025;15460
6405682409;21609626449;zoeken;Zomervakantie2024 zuid;0
6405683899;21609606435;zoeken;Groningen najaars schoolvakantie;0
6405692513;21609639581;zoeken;Noord;16870
6405695649;21609661137;zoeken;Vrije dagen;2110
6405696191;21609657887;zoeken;Mavo;500
6405705249;21609684853;zoeken;Rotterdam vakanties;160
6405716959;21609731997;zoeken;Waardering diploma;420
6405725321;21609754471;zoeken;Middelbare schoolvakantie;10
6405737163;21609796621;zoeken;osg Den burg texel;0
6405738227;21609796763;zoeken;moslim;200
6405741773;21609806777;zoeken;Herst vakantie 2023;0
6405746327;21609878969;zoeken;Bijdrage overheid hogeschool;370
6405746327;21609880233;zoeken;Bijdrage overheid school;1600
6405746419;21609819921;zoeken;Toekomstverkenning;810
6405748219;21609826945;zoeken;Vakantie 2023-2024;70
6405749791;21609832731;zoeken;Moet je naar school als er geen n het André dorp een volk feest is;0
6405752513;21609844423;zoeken;2023;89210
6405760575;21609872429;zoeken;Middelbare school;2520
6405760889;21609872677;zoeken;Schoolvakantie 2024;130
6405764383;21609878665;zoeken;Collegeld hbo;0
6405774281;21609922179;zoeken;vacatures;2130
6405778653;21609941667;zoeken;2131VD;0
6405781021;21609946057;zoeken;2024-2025;1330
6405792915;21609998789;zoeken;reisproduct pauzeren;10
6405792915;21610000383;zoeken;reisproduct pauzeren;10
6405793411;21609997165;zoeken;Groningen;19600
6405796617;21610070197;zoeken;Hbo;4540
6405800181;21610044757;zoeken;bouwvakantie 2024;0
6405808341;21610090555;zoeken;Kerstvakantie;720
6405822311;21610091605;zoeken;2023 2024;14110
6405828011;21610114285;zoeken;Overzicht schoolvakantie 2023/2024;30
6405836925;21610146233;zoeken;Leerplichtambtenaar;200
6405836925;21610156643;zoeken;Leerplichtambtenaar van Den Haag;60
6405838521;21610273641;zoeken;leeftijd mbo;1340
6405838521;21610281907;zoeken;leeftijd mbo;1340
6405854915;21610201525;zoeken;twv oekraine;110
6405861727;21610526543;zoeken;Herfstvakantie 2023;50
6405861727;21610608247;zoeken;Hemelvaart 2024;70
6405863111;21610237469;zoeken;Startkwalificatie;570
6405866347;21610291401;zoeken;Leraar vo;800
6405866347;21610296405;zoeken;Leraar gymnasium;20
6405868917;21610250443;zoeken;School aanklagen;20
6405877973;21610291853;zoeken;Herfstvakantie 2024 lisse;0
6405879181;21610347059;zoeken;Klacht middelbare school;120
6405902747;21610406493;zoeken;leerlingenvervoer;530
6405905475;21610699711;zoeken;studeren;2900
6405905515;21610384871;zoeken;Zelf betalen;9580
6405910895;21610407435;zoeken;zomervakantie 2023;360
6405917219;21610439005;zoeken;slim;2660
6405917521;21610436215;zoeken;vrij voor bijzondere gebeurtenissen;430
6405919967;21610435049;zoeken;<anonimized>;20
6405919967;21610439063;zoeken;Reactie op brief van gemeente Bernheze;40
